mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I,mean_theta,mean_qz,mean_I
-20,-0.001633873,1.75E-06,-20,-0.003407382,3.57E-07,-20,-0.005146654,1.26E-06,-20,-0.006883244,4.26E-05,-20,-0.008617238,3.36E-07,-20,-0.010348594,6.04E-07,-20,-0.012077291,3.77E-07,-20,-0.013834685,2.26E-06,-20,-0.015526701,4.14E-07,-20,-0.017247411,3.86E-07,-20,-0.018965456,4.26E-07,-20,-0.020649669,1.46E-06,-20,-0.022331331,3.42E-07,-20,-0.024072534,3.42E-07,-20,-0.025810967,3.79E-07,-20,-0.027484688,4.14E-07,-20,-0.029217675,3.50E-07,-20,-0.030947888,3.89E-07,-20,-0.032613677,3.21E-07,-20,-0.034276883,3.97E-07
-19.5,-0.001596047,1.78E-06,-19.5,-0.003328428,3.74E-07,-19.5,-0.004996384,1.35E-06,-19.5,-0.006692637,5.53E-05,-19.5,-0.008386276,3.25E-07,-19.5,-0.010077249,5.51E-07,-19.5,-0.011765554,4.22E-07,-19.5,-0.013481814,1.03E-06,-19.5,-0.01511887,3.81E-07,-19.5,-0.016799189,4.45E-07,-19.5,-0.018461594,3.62E-07,-19.5,-0.020106157,1.65E-06,-19.5,-0.02174814,3.45E-07,-19.5,-0.023433044,3.47E-07,-19.5,-0.025115233,4.12E-07,-19.5,-0.026749324,4.72E-07,-19.5,-0.028441202,3.25E-07,-19.5,-0.030115229,3.67E-07,-19.5,-0.031741386,3.31E-07,-19.5,-0.033364952,3.66E-07
-19,-0.0015581,1.92E-06,-19,-0.003219045,4.18E-07,-19,-0.004877426,1.35E-06,-19,-0.006518122,7.28E-05,-19,-0.008156146,3.48E-07,-19,-0.009791616,4.78E-07,-19,-0.011424458,4.72E-07,-19,-0.013099503,4.09E-07,-19,-0.014712095,3.40E-07,-19,-0.016351894,4.15E-07,-19,-0.017974142,3.36E-07,-19,-0.019564059,1.52E-06,-19,-0.021151438,3.78E-07,-19,-0.022795483,3.25E-07,-19,-0.024451559,3.97E-07,-19,-0.026031093,7.60E-07,-19,-0.027666983,3.38E-07,-19,-0.029300133,3.35E-07,-19,-0.030871833,3.61E-07,-19,-0.032455637,3.64E-07
-18.5,-0.001505294,2.15E-06,-18.5,-0.00314033,4.64E-07,-18.5,-0.004743357,1.44E-06,-18.5,-0.006343775,7.81E-05,-18.5,-0.007941519,3.65E-07,-18.5,-0.009522075,4.42E-07,-18.5,-0.011114641,5.22E-07,-18.5,-0.012748294,6.44E-07,-18.5,-0.014306416,3.48E-07,-18.5,-0.015891045,4.10E-07,-18.5,-0.017487536,3.42E-07,-18.5,-0.019023426,9.03E-07,-18.5,-0.020571271,3.74E-07,-18.5,-0.022174303,3.52E-07,-18.5,-0.023760167,3.84E-07,-18.5,-0.025314573,7.98E-07,-18.5,-0.02689509,3.37E-07,-18.5,-0.02848724,3.26E-07,-18.5,-0.03001941,3.78E-07,-18.5,-0.031563308,3.71E-07
-18,-0.001467482,2.06E-06,-18,-0.003061375,5.01E-07,-18,-0.004609664,1.28E-06,-18,-0.006155387,8.95E-05,-18,-0.007712751,3.94E-07,-18,-0.009253289,4.17E-07,-18,-0.010805459,5.60E-07,-18,-0.012397597,1.53E-06,-18,-0.013901869,3.27E-07,-18,-0.015446105,4.14E-07,-18,-0.016987691,3.53E-07,-18,-0.018484308,4.92E-07,-18,-0.019978418,3.37E-07,-18,-0.021540317,3.85E-07,-18,-0.023099462,3.37E-07,-18,-0.024585821,6.19E-07,-18,-0.026139582,3.35E-07,-18,-0.027690585,3.53E-07,-18,-0.02916915,3.34E-07,-18,-0.030659112,4.38E-07
-17.5,-0.00141556,2.10E-06,-17.5,-0.002954235,6.22E-07,-17.5,-0.004476365,1.27E-06,-17.5,-0.005981944,0.000100578,-17.5,-0.007498836,4.65E-07,-17.5,-0.008999163,3.62E-07,-17.5,-0.01049694,5.93E-07,-17.5,-0.01203361,3.24E-06,-17.5,-0.013498492,3.15E-07,-17.5,-0.015002215,3.93E-07,-17.5,-0.016489547,4.21E-07,-17.5,-0.017946775,4.15E-07,-17.5,-0.01940149,3.52E-07,-17.5,-0.020922128,3.76E-07,-17.5,-0.022426344,3.39E-07,-17.5,-0.023886981,5.24E-07,-17.5,-0.025385844,3.43E-07,-17.5,-0.026881993,3.47E-07,-17.5,-0.028321168,3.23E-07,-17.5,-0.029771363,4.94E-07
-17,-0.001377901,2.15E-06,-17,-0.002875566,6.96E-07,-17,-0.004343468,1.24E-06,-17,-0.005808725,0.000105015,-17,-0.007271461,5.15E-07,-17,-0.00873159,3.93E-07,-17,-0.010189111,5.28E-07,-17,-0.01167094,4.95E-06,-17,-0.013096322,3.39E-07,-17,-0.01455942,3.79E-07,-17,-0.016006469,4.85E-07,-17,-0.017410814,9.57E-07,-17,-0.018839367,3.23E-07,-17,-0.020291977,3.65E-07,-17,-0.02175521,3.77E-07,-17,-0.023175929,3.68E-07,-17,-0.024620556,3.40E-07,-17,-0.026075743,3.67E-07,-17,-0.027475424,3.20E-07,-17,-0.028885746,3.68E-07
-16.5,-0.001340137,2.13E-06,-16.5,-0.002796677,7.46E-07,-16.5,-0.004210989,1.20E-06,-16.5,-0.005635939,0.000113068,-16.5,-0.007058286,5.52E-07,-16.5,-0.008464847,4.70E-07,-16.5,-0.009882,4.95E-07,-16.5,-0.011322708,6.19E-06,-16.5,-0.012708457,3.75E-07,-16.5,-0.014117756,3.17E-07,-16.5,-0.015524436,4.80E-07,-16.5,-0.016889528,1.92E-06,-16.5,-0.018265105,3.44E-07,-16.5,-0.019676976,3.31E-07,-16.5,-0.021099089,4.39E-07,-16.5,-0.022466911,4.84E-07,-16.5,-0.023883673,3.29E-07,-16.5,-0.025284878,3.51E-07,-16.5,-0.026644933,3.80E-07,-16.5,-0.028002453,3.20E-07
-16,-0.001302271,2.13E-06,-16,-0.002704722,9.05E-07,-16,-0.004078935,1.13E-06,-16,-0.005463408,0.000102664,-16,-0.006832487,5.58E-07,-16,-0.008198983,5.28E-07,-16,-0.009575635,4.20E-07,-16,-0.010975112,6.63E-06,-16,-0.012321123,4.20E-07,-16,-0.013677267,3.42E-07,-16,-0.015043469,5.14E-07,-16,-0.016369201,2.45E-06,-16,-0.017692449,3.59E-07,-16,-0.019063474,3.28E-07,-16,-0.02044436,3.91E-07,-16,-0.021772448,8.33E-07,-16,-0.023135477,3.38E-07,-16,-0.02449582,3.28E-07,-16,-0.025816148,3.70E-07,-16,-0.027133945,4.56E-07
-15.5,-0.001264306,2.16E-06,-15.5,-0.00261331,1.05E-06,-15.5,-0.003959779,9.95E-07,-15.5,-0.005278781,9.61E-05,-15.5,-0.006620076,6.14E-07,-15.5,-0.007933982,5.68E-07,-15.5,-0.009270043,3.59E-07,-15.5,-0.010628182,6.11E-06,-15.5,-0.011922043,4.62E-07,-15.5,-0.013237987,3.72E-07,-15.5,-0.014563609,3.93E-07,-15.5,-0.015837644,2.62E-06,-15.5,-0.017133665,3.62E-07,-15.5,-0.018463717,3.38E-07,-15.5,-0.01979108,3.85E-07,-15.5,-0.021067193,1.02E-06,-15.5,-0.022389276,3.47E-07,-15.5,-0.023708671,3.43E-07,-15.5,-0.024989169,3.64E-07,-15.5,-0.026255075,4.95E-07
-15,-0.00121412,2.49E-06,-15,-0.002534554,1.24E-06,-15,-0.003828243,9.07E-07,-15,-0.005119366,8.63E-05,-15,-0.006407916,5.89E-07,-15,-0.007681876,7.49E-07,-15,-0.008965251,3.42E-07,-15,-0.010281949,5.30E-06,-15,-0.011536247,4.19E-07,-15,-0.012811869,3.84E-07,-15,-0.014084902,3.48E-07,-15,-0.015319757,2.34E-06,-15,-0.016563999,3.76E-07,-15,-0.017853001,3.63E-07,-15,-0.019139307,3.28E-07,-15,-0.020375863,9.40E-07,-15,-0.021656878,3.59E-07,-15,-0.022923482,3.64E-07,-15,-0.024164054,3.32E-07,-15,-0.025390407,4.64E-07
-14.5,-0.001176343,2.58E-06,-14.5,-0.002443882,1.41E-06,-14.5,-0.003697168,7.65E-07,-14.5,-0.004936208,7.14E-05,-14.5,-0.006184368,6.28E-07,-14.5,-0.007418311,8.20E-07,-14.5,-0.008661316,3.49E-07,-14.5,-0.009924891,4.22E-06,-14.5,-0.01113955,4.20E-07,-14.5,-0.012374776,4.55E-07,-14.5,-0.013607384,3.16E-07,-14.5,-0.014802966,1.21E-06,-14.5,-0.016007553,3.63E-07,-14.5,-0.01725538,4.11E-07,-14.5,-0.018489097,3.26E-07,-14.5,-0.019686003,5.10E-07,-14.5,-0.020925852,3.36E-07,-14.5,-0.022151662,3.41E-07,-14.5,-0.023340877,3.22E-07,-14.5,-0.024527581,3.46E-07
